Année,Réfugiés
2013,3213
2013,1925
2013,1333
2013,3349
2013,5
2013,3919
2013,2709
2013,3336
2013,491
2013,22
2013,102
2013,40
2013,4174
2013,8
2013,78
2013,97
2013,361
2013,12560
2013,790
2013,605
2013,1172
2013,74
2013,1904
2013,480
2013,474
2013,3371
2013,2410
2013,77
2013,138
2013,29
2013,0
2013,13513
2013,122
2013,17
2013,31
2013,422
2013,20
2013,33
2013,1508
2013,8
2013,598
2013,32
2013,140
2013,2571
2013,9
2013,544
2013,16
2013,4668
2013,941
2013,5
2013,3741
2013,64
2013,197
2013,6
2013,2677
2013,2311
2013,8
2013,11
2013,444
2013,58
2013,6
2013,252
2013,7261
2013,42
2013,105
2013,228
2013,42
2013,13
2013,236
2013,6
2013,3719
2013,5101
2013,6
2013,10
2013,350
2013,67
2013,197
2013,12
2013,254
2013,100
2013,52
2013,988
2013,683
2013,0
2013,5
2013,292
2013,160
2013,380
2013,167
2013,12795
2013,2840
2013,629
2013,11738
2013,457
2013,125
2013,1674
2013,23
2013,23762
2013,314
2013,2430
2013,1474
2013,28
2013,316
2013,731
2013,199
2013,10867
2013,11
2013,70
2013,732
2013,0
2013,0
2013,217
2013,47676
2013,8
2013,8528
2013,91
2013,20
2013,37
2012,2590
2012,1762
2012,1264
2012,3258
2012,5
2012,3633
2012,2567
2012,2834
2012,471
2012,21
2012,79
2012,40
2012,4118
2012,8
2012,78
2012,86
2012,348
2012,12666
2012,744
2012,593
2012,1150
2012,75
2012,1569
2012,476
2012,408
2012,3318
2012,2204
2012,77
2012,122
2012,29
2012,0
2012,12585
2012,112
2012,0
2012,8
2012,32
2012,286
2012,20
2012,31
2012,1316
2012,10
2012,559
2012,27
2012,120
2012,2391
2012,10
2012,551
2012,0
2012,17
2012,4111
2012,925
2012,5
2012,3710
2012,63
2012,199
2012,7
2012,2620
2012,2172
2012,6
2012,12
2012,411
2012,48
2012,5
2012,216
2012,7335
2012,44
2012,103
2012,227
2012,25
2012,13
2012,239
2012,7
2012,3428
2012,4899
2012,5
2012,8
2012,325
2012,56
2012,164
2012,12
2012,193
2012,77
2012,50
2012,889
2012,547
2012,5
2012,288
2012,0
2012,173
2012,380
2012,170
2012,11767
2012,2723
2012,0
2012,551
2012,11506
2012,443
2012,126
2012,1489
2012,18
2012,23225
2012,252
2012,2180
2012,640
2012,28
2012,0
2012,300
2012,711
2012,178
2012,10887
2012,10
2012,61
2012,719
2012,0
2012,206
2012,42289
2012,7
2012,8605
2012,52
2012,17
2012,35
2011,2120
2011,1666
2011,1225
2011,3162
2011,5
2011,3350
2011,2445
2011,2473
2011,455
2011,19
2011,67
2011,39
2011,4108
2011,8
2011,82
2011,74
2011,331
2011,12818
2011,689
2011,583
2011,1090
2011,75
2011,1207
2011,455
2011,380
2011,3227
2011,2051
2011,75
2011,121
2011,28
2011,11931
2011,97
2011,32
2011,184
2011,20
2011,30
2011,1093
2011,10
2011,528
2011,25
2011,110
2011,2249
2011,10
2011,559
2011,17
2011,3645
2011,909
2011,3619
2011,65
2011,203
2011,6
2011,2519
2011,2064
2011,5
2011,12
2011,382
2011,29
2011,5
2011,187
2011,7382
2011,45
2011,100
2011,228
2011,20
2011,13
2011,223
2011,6
2011,3082
2011,4734
2011,6
2011,300
2011,40
2011,132
2011,12
2011,174
2011,62
2011,48
2011,794
2011,471
2011,277
2011,174
2011,382
2011,181
2011,10882
2011,2598
2011,488
2011,10891
2011,420
2011,125
2011,1303
2011,18
2011,22719
2011,218
2011,1906
2011,351
2011,28
2011,273
2011,699
2011,183
2011,10885
2011,9
2011,53
2011,716
2011,201
2011,42659
2011,7
2011,8654
2011,19
2011,11
2011,32
2010,1790
2010,1556
2010,1189
2010,3097
2010,0
2010,3073
2010,2239
2010,2268
2010,441
2010,16
2010,52
2010,37
2010,4083
2010,8
2010,84
2010,63
2010,320
2010,12956
2010,655
2010,577
2010,1026
2010,0
2010,1002
2010,436
2010,324
2010,3124
2010,1920
2010,0
2010,120
2010,0
2010,11369
2010,94
2010,0
2010,136
2010,0
2010,29
2010,663
2010,0
2010,481
2010,22
2010,87
2010,2153
2010,0
2010,565
2010,0
